CustomerID,TotalGastado,NumCompras,ProductosDistintos,TicketMedio,Cluster_ID,Segmento
12347.0,4310.0,7,103,615.7142857142857,0,VIP / Premium
12348.0,1797.24,4,22,449.31,2,Recurrentes
12349.0,1757.55,1,73,1757.55,2,Recurrentes
12350.0,334.40000000000003,1,17,334.40000000000003,1,Ocasionales
12352.0,2506.04,8,59,313.255,2,Recurrentes
12353.0,89.0,1,4,89.0,1,Ocasionales
12354.0,1079.4,1,58,1079.4,2,Recurrentes
12355.0,459.40000000000003,1,13,459.40000000000003,1,Ocasionales
12356.0,2811.43,3,53,937.1433333333333,2,Recurrentes
12358.0,1168.06,2,13,584.03,1,Ocasionales
12360.0,2662.06,3,105,887.3533333333334,2,Recurrentes
12361.0,189.9,1,10,189.9,1,Ocasionales
12362.0,5226.2300000000005,10,201,522.623,0,VIP / Premium
12363.0,552.0,2,23,276.0,1,Ocasionales
12364.0,1313.1,4,70,328.275,2,Recurrentes
12365.0,641.38,2,22,320.69,1,Ocasionales
12367.0,168.9,1,11,168.9,1,Ocasionales
12370.0,3541.94,4,143,885.485,0,VIP / Premium
12371.0,1887.96,2,63,943.98,2,Recurrentes
12372.0,1298.04,3,34,432.68,2,Recurrentes
12373.0,364.6,1,14,364.6,1,Ocasionales
12374.0,742.9300000000001,1,33,742.9300000000001,1,Ocasionales
12375.0,457.5,2,14,228.75,1,Ocasionales
12377.0,1628.1200000000001,2,72,814.0600000000001,2,Recurrentes
12379.0,852.24,2,39,426.12,1,Ocasionales
12380.0,2724.81,4,77,681.2025,2,Recurrentes
12381.0,1845.31,5,70,369.062,2,Recurrentes
12383.0,1850.56,5,84,370.11199999999997,2,Recurrentes
12384.0,585.27,2,26,292.635,1,Ocasionales
12386.0,401.9,2,10,200.95,1,Ocasionales
12388.0,2780.6600000000003,6,57,463.4433333333334,2,Recurrentes
12390.0,549.84,1,32,549.84,1,Ocasionales
12391.0,439.66,1,92,439.66,1,Ocasionales
12393.0,1582.6000000000001,4,47,395.65000000000003,2,Recurrentes
12394.0,1272.48,2,26,636.24,2,Recurrentes
12395.0,3018.63,12,91,251.5525,0,VIP / Premium
12397.0,2409.9,2,110,1204.95,2,Recurrentes
12398.0,1635.6599999999999,1,85,1635.6599999999999,2,Recurrentes
12399.0,1108.65,4,47,277.1625,2,Recurrentes
12401.0,84.3,1,5,84.3,1,Ocasionales
12402.0,225.60000000000002,1,11,225.60000000000002,1,Ocasionales
12403.0,427.7,1,5,427.7,1,Ocasionales
12405.0,1710.39,1,54,1710.39,2,Recurrentes
12406.0,3415.3,2,92,1707.65,0,VIP / Premium
12407.0,1708.12,5,57,341.62399999999997,2,Recurrentes
12408.0,2888.55,5,81,577.71,2,Recurrentes
12410.0,693.33,2,26,346.665,1,Ocasionales
12412.0,1226.88,3,43,408.96000000000004,2,Recurrentes
12413.0,758.1,3,29,252.70000000000002,1,Ocasionales
12414.0,562.4100000000001,3,16,187.47000000000003,1,Ocasionales
12417.0,3649.1,9,158,405.4555555555555,0,VIP / Premium
12418.0,668.58,1,34,668.58,1,Ocasionales
12420.0,600.39,1,29,600.39,1,Ocasionales
12421.0,807.04,4,32,201.76,1,Ocasionales
12422.0,803.5600000000001,3,39,267.85333333333335,1,Ocasionales
12423.0,1859.31,8,97,232.41375,2,Recurrentes
12424.0,1760.96,2,30,880.48,2,Recurrentes
12425.0,777.2,1,36,777.2,1,Ocasionales
12426.0,582.73,1,30,582.73,1,Ocasionales
12427.0,825.8000000000001,3,26,275.2666666666667,1,Ocasionales
12429.0,3750.4,4,82,937.6,0,VIP / Premium
12430.0,256.4,1,11,256.4,1,Ocasionales
12431.0,6419.95,15,163,427.99666666666667,0,VIP / Premium
12432.0,5059.32,5,107,1011.8639999999999,0,VIP / Premium
12434.0,806.14,2,46,403.07,1,Ocasionales
12436.0,509.01,1,16,509.01,1,Ocasionales
12437.0,4951.41,18,118,275.0783333333333,0,VIP / Premium
12438.0,2906.85,2,84,1453.425,2,Recurrentes
12441.0,173.55,1,11,173.55,1,Ocasionales
12442.0,172.06,1,12,172.06,1,Ocasionales
12444.0,5005.46,5,138,1001.092,0,VIP / Premium
12445.0,133.4,1,4,133.4,1,Ocasionales
12446.0,1002.3100000000001,1,57,1002.3100000000001,2,Recurrentes
12447.0,476.49,1,26,476.49,1,Ocasionales
12448.0,449.45,1,22,449.45,1,Ocasionales
12449.0,4067.29,4,118,1016.8225,0,VIP / Premium
12450.0,197.88,2,7,98.94,1,Ocasionales
12452.0,430.57000000000005,2,21,215.28500000000003,1,Ocasionales
12453.0,707.09,1,43,707.09,1,Ocasionales
12455.0,2466.86,6,85,411.1433333333334,2,Recurrentes
12456.0,3181.04,3,105,1060.3466666666666,0,VIP / Premium
12457.0,2363.23,7,53,337.6042857142857,2,Recurrentes
12458.0,947.4,2,35,473.7,1,Ocasionales
12461.0,826.88,2,35,413.44,1,Ocasionales
12462.0,1189.59,2,51,594.795,2,Recurrentes
12463.0,1344.78,4,65,336.195,2,Recurrentes
12464.0,1212.05,8,6,151.50625,2,Recurrentes
12465.0,742.19,2,46,371.095,1,Ocasionales
12468.0,729.54,2,36,364.77,1,Ocasionales
12472.0,6572.11,7,219,938.8728571428571,0,VIP / Premium
12473.0,3928.05,5,140,785.61,0,VIP / Premium
12475.0,723.38,1,36,723.38,1,Ocasionales
12476.0,6816.42,11,177,619.6745454545454,0,VIP / Premium
12478.0,680.99,1,36,680.99,1,Ocasionales
12479.0,527.2,1,31,527.2,1,Ocasionales
12480.0,3281.63,4,129,820.4075,0,VIP / Premium
12481.0,5579.82,10,150,557.982,0,VIP / Premium
12483.0,2484.98,8,46,310.6225,2,Recurrentes
12484.0,4527.32,6,256,754.5533333333333,0,VIP / Premium
12488.0,1298.66,3,46,432.8866666666667,2,Recurrentes
12489.0,334.93,1,15,334.93,1,Ocasionales
12490.0,5417.93,10,131,541.793,0,VIP / Premium
12491.0,460.40000000000003,1,25,460.40000000000003,1,Ocasionales
12492.0,263.21000000000004,2,19,131.60500000000002,1,Ocasionales
12493.0,433.74,2,20,216.87,1,Ocasionales
12494.0,1246.1,7,63,178.0142857142857,2,Recurrentes
12497.0,1043.1,1,14,1043.1,2,Recurrentes
12498.0,403.70000000000005,3,21,134.5666666666667,1,Ocasionales
12500.0,4257.82,11,34,387.07454545454544,0,VIP / Premium
12502.0,3723.87,5,102,744.774,0,VIP / Premium
12504.0,482.04999999999995,2,6,241.02499999999998,1,Ocasionales
12506.0,73.5,1,23,73.5,1,Ocasionales
12507.0,1304.81,3,19,434.93666666666667,1,Ocasionales
12508.0,397.88,2,57,198.94,1,Ocasionales
12509.0,176.5,1,7,176.5,1,Ocasionales
12510.0,982.5699999999999,2,29,491.28499999999997,1,Ocasionales
12512.0,132.18,2,31,66.09,1,Ocasionales
12513.0,612.29,1,35,612.29,1,Ocasionales
12514.0,1017.6800000000001,1,51,1017.6800000000001,2,Recurrentes
12515.0,383.7,1,16,383.7,1,Ocasionales
12516.0,1312.06,2,20,656.03,2,Recurrentes
12517.0,2481.6,5,232,496.32,0,VIP / Premium
12518.0,2056.89,5,84,411.378,2,Recurrentes
12519.0,330.84000000000003,1,17,330.84000000000003,1,Ocasionales
12520.0,2634.26,5,121,526.8520000000001,2,Recurrentes
12521.0,599.68,1,38,599.68,1,Ocasionales
12522.0,192.72,2,11,96.36,1,Ocasionales
12523.0,1789.77,11,84,162.70636363636365,2,Recurrentes
12524.0,4485.72,8,113,560.715,0,VIP / Premium
12526.0,1316.66,3,64,438.8866666666667,2,Recurrentes
12527.0,348.71000000000004,3,18,116.23666666666668,1,Ocasionales
12528.0,1933.48,6,50,322.24666666666667,2,Recurrentes
12530.0,1662.28,4,51,415.57,2,Recurrentes
12531.0,125.22,1,17,125.22,1,Ocasionales
12532.0,349.83000000000004,1,16,349.83000000000004,1,Ocasionales
12534.0,1089.18,1,63,1089.18,2,Recurrentes
12535.0,716.35,2,28,358.175,1,Ocasionales
12538.0,363.95,1,21,363.95,1,Ocasionales
12539.0,5568.35,4,157,1392.0875,0,VIP / Premium
12541.0,981.18,3,46,327.06,1,Ocasionales
12544.0,372.7,1,19,372.7,1,Ocasionales
12545.0,1000.39,2,42,500.195,1,Ocasionales
12546.0,1161.5,2,59,580.75,2,Recurrentes
12547.0,207.8,2,7,103.9,1,Ocasionales
12548.0,95.19999999999999,1,5,95.19999999999999,1,Ocasionales
12550.0,964.83,1,57,964.83,2,Recurrentes
12551.0,168.0,1,10,168.0,1,Ocasionales
12552.0,437.82,2,20,218.91,1,Ocasionales
12553.0,3692.28,10,95,369.228,0,VIP / Premium
12556.0,599.56,2,100,299.78,1,Ocasionales
12558.0,269.96,1,11,269.96,1,Ocasionales
12559.0,561.71,2,21,280.855,1,Ocasionales
12560.0,2134.01,3,91,711.3366666666667,2,Recurrentes
12561.0,238.85,1,16,238.85,1,Ocasionales
12562.0,3781.7400000000002,7,99,540.2485714285715,0,VIP / Premium
12564.0,456.90000000000003,1,21,456.90000000000003,1,Ocasionales
12565.0,145.92000000000002,1,9,145.92000000000002,1,Ocasionales
12566.0,351.65,1,19,351.65,1,Ocasionales
12571.0,519.61,2,31,259.805,1,Ocasionales
12572.0,1020.4200000000001,2,53,510.21000000000004,1,Ocasionales
12573.0,160.54000000000002,1,26,160.54000000000002,1,Ocasionales
12574.0,218.45000000000002,1,11,218.45000000000002,1,Ocasionales
12576.0,1315.83,5,72,263.166,2,Recurrentes
12577.0,626.6,3,137,208.86666666666667,2,Recurrentes
12578.0,2794.51,2,111,1397.255,0,VIP / Premium
12579.0,440.42,1,29,440.42,1,Ocasionales
12580.0,415.7,1,24,415.7,1,Ocasionales
12581.0,197.71,1,15,197.71,1,Ocasionales
12582.0,511.36,2,21,255.68,1,Ocasionales
12583.0,7281.38,15,115,485.42533333333336,0,VIP / Premium
12584.0,2338.15,9,44,259.7944444444445,2,Recurrentes
12585.0,2040.1,2,77,1020.05,2,Recurrentes
12586.0,196.94000000000003,1,11,196.94000000000003,1,Ocasionales
12587.0,144.0,1,4,144.0,1,Ocasionales
12588.0,214.89999999999998,1,10,214.89999999999998,1,Ocasionales
12589.0,646.68,2,29,323.34,1,Ocasionales
12591.0,452.84999999999997,1,26,452.84999999999997,1,Ocasionales
12592.0,437.6,2,11,218.8,1,Ocasionales
12593.0,418.1,3,14,139.36666666666667,1,Ocasionales
12594.0,3338.2200000000003,10,50,333.822,0,VIP / Premium
12596.0,618.27,2,25,309.135,1,Ocasionales
12597.0,3811.22,4,184,952.805,0,VIP / Premium
12598.0,3023.08,8,84,377.885,2,Recurrentes
12599.0,1032.58,7,32,147.51142857142855,2,Recurrentes
12600.0,2599.04,10,32,259.904,2,Recurrentes
12601.0,577.0600000000001,5,21,115.412,1,Ocasionales
12602.0,153.12,1,12,153.12,1,Ocasionales
12603.0,739.1999999999999,1,2,739.1999999999999,1,Ocasionales
12604.0,254.18,2,15,127.09,1,Ocasionales
12607.0,1579.51,1,101,1579.51,2,Recurrentes
12609.0,1126.85,3,57,375.6166666666666,2,Recurrentes
12610.0,2099.54,5,85,419.908,2,Recurrentes
12611.0,1193.32,1,65,1193.32,2,Recurrentes
12612.0,704.04,1,19,704.04,1,Ocasionales
12613.0,3344.38,5,124,668.876,0,VIP / Premium
12614.0,315.6,1,20,315.6,1,Ocasionales
12615.0,2291.19,4,82,572.7975,2,Recurrentes
12616.0,713.3,2,25,356.65,1,Ocasionales
12617.0,352.98,1,39,352.98,1,Ocasionales
12618.0,177.31,1,11,177.31,1,Ocasionales
12619.0,3641.24,9,50,404.5822222222222,0,VIP / Premium
12620.0,1339.41,3,89,446.47,2,Recurrentes
12622.0,180.1,1,11,180.1,1,Ocasionales
12623.0,305.1,1,18,305.1,1,Ocasionales
12624.0,641.13,2,36,320.565,1,Ocasionales
12625.0,2683.82,2,73,1341.91,2,Recurrentes
12626.0,6620.4800000000005,9,232,735.6088888888889,0,VIP / Premium
12627.0,4478.53,7,162,639.79,0,VIP / Premium
12628.0,786.46,3,34,262.15333333333336,1,Ocasionales
12630.0,1270.88,2,60,635.44,2,Recurrentes
12631.0,640.5,1,31,640.5,1,Ocasionales
12633.0,2163.98,4,73,540.995,2,Recurrentes
12635.0,1689.18,2,96,844.59,2,Recurrentes
12637.0,6002.9,8,205,750.3625,0,VIP / Premium
